orbit_size,optimal_structured_defect,cycle_unrestricted_defect,reynolds_distance,observed_ratio,theory_ratio,absolute_formula_error,witness_length
2,1.0,1.0,1.0,1.0,1.0,0.0,1
3,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1
4,1.0,1.0,1.5,1.5,1.5,0.0,1
5,1.0,1.0,1.6,1.6,1.6,0.0,1
8,1.0,1.0,1.75,1.75,1.75,0.0,1
12,1.0,1.0,1.8333333333333333,1.8333333333333333,1.8333333333333333,0.0,1
20,1.0,1.0,1.9,1.9,1.9,0.0,1
40,1.0,1.0,1.95,1.95,1.95,0.0,1
