players_and_roles,independent_invariant_welfare,correlated_invariant_welfare,solver_welfare,solver_ce_violation,pure_profiles,profile_orbits
2,0.5,1.0,1.0,0.0,4,2.0
3,0.2222222222222222,1.0,1.0,0.0,27,3.0
4,0.09375,1.0,1.0,0.0,256,5.0
5,0.0384,1.0,1.0,0.0,3125,7.0
6,0.015432098765432098,1.0,,,46656,
7,0.006119899021666143,1.0,,,823543,
8,0.00240325927734375,1.0,,,16777216,
9,0.000936656708416885,1.0,,,387420489,
10,0.00036288,1.0,,,10000000000,
