scale,strategic_defect,raw_payoff_defect,reynolds_strategic_distance
0.0,0.0,0.0,5.551115123125783e-17
0.25,2.220446049250313e-16,0.21337507949457357,4.440892098500626e-16
0.5,3.3306690738754696e-16,0.4267501589891469,2.7755575615628914e-16
1.0,2.220446049250313e-16,0.8535003179782938,2.220446049250313e-16
2.0,4.440892098500626e-16,1.7070006359565877,4.440892098500626e-16
5.0,1.7763568394002505e-15,4.267501589891468,8.881784197001252e-16
10.0,8.881784197001252e-16,8.535003179782937,8.881784197001252e-16
