sigma,strategic_defect_mean,transferred_ce_violation_mean,direct_ce_violation_mean,transferred_welfare_mean,direct_welfare_mean
0.0,1.1102230246251565e-16,0.0,0.0,0.2940130237841733,0.2940130237841733
0.02,0.06893803844496824,0.012008268639151368,0.04252986082242395,0.32033028433744193,0.8392318607439198
0.05,0.1905349882513931,0.04949517022553333,0.05466705225580595,0.7334457511790524,0.8364698146312699
0.1,0.33646812543766735,0.066217077635459,0.08346356204868247,0.6198795238438711,0.829784464425491
0.2,0.6871108913590994,0.13711890779598682,0.14122083521911744,0.7995479183844542,0.8900621774238356
0.35,1.1472332173346398,0.2252438074372703,0.24136711453262277,0.7853732271550566,0.9151384573268337
