orbit_size,strategic_defect,invariant_regret,regret_over_defect,theory_ratio
2,1.0,0.5,0.5,0.5
3,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667
5,1.0,0.8,0.8,0.8
10,1.0,0.9,0.9,0.9
20,1.0,0.95,0.95,0.95
50,1.0,0.98,0.98,0.98
100,1.0,0.99,0.99,0.99
