actions_per_player,duplicate_factor,full_time_seconds,orbit_time_seconds,speedup,full_gap,orbit_gap,orbit_variables
4,1,0.0018731479999587464,0.0013638619998346257,1.373414612465098,1.3877787807814457e-17,1.3877787807814457e-17,10
8,2,0.0020372909998513933,0.001453775999834761,1.4013788919908952,5.551115123125783e-17,1.3877787807814457e-17,10
16,4,0.0021790920000057667,0.0016136929998538108,1.350375815104346,5.551115123125783e-17,2.7755575615628914e-17,10
32,8,0.0026651029997992737,0.0017087549999814655,1.5596753190645714,5.551115123125783e-17,9.71445146547012e-17,10
64,16,0.004240518999722553,0.002025234000029741,2.093841501604398,5.551115123125783e-17,1.0408340855860843e-16,10
128,32,0.010365774000092642,0.0026683979999688745,3.884643145517855,5.551115123125783e-17,8.326672684688674e-17,10
256,64,0.036269922999963455,0.00419259799991778,8.650942208309678,5.551115123125783e-17,2.3592239273284576e-16,10
512,128,0.15835949499978597,0.007902780999756942,20.038451654507,5.551115123125783e-17,5.273559366969494e-16,10
