replicate,lp_defect,cycle_defect,projected_distance,witness_mean_inconsistency,witness_length,graph_vertices,graph_edges,lp_time_seconds,cycle_time_seconds
0,3.1135204416514664,3.1135204416514664,3.1135204420628186,3.1135204416514664,1,8,16,0.003181249000135722,0.0009225490002791048
1,2.714437728377539,2.71443772837754,2.714437728748984,2.714437728377539,2,8,16,0.0031660259996897366,0.0011082840001108707
2,2.8491165626421324,2.8491165626421306,2.8491165626421324,2.8491165626421324,1,8,16,0.0031699910000497766,0.0008739159998185642
3,2.4140353914374484,2.414035391437448,2.4140353917788513,2.4140353914374484,1,8,16,0.003320345000247471,0.0008749580001676804
4,2.9693175867889585,2.969317586788957,2.9693175867889585,2.9693175867889585,1,8,16,0.003422957000111637,0.0008699199997863616
5,3.619218572291782,3.619218572291781,3.619218572753703,3.6192185722917816,1,8,16,0.0031754689998706453,0.0008820980001473799
6,2.6354146698048946,2.635414669804894,2.6354146698048946,2.6354146698048946,1,8,16,0.0031512540003859613,0.0008655839997118164
7,4.606366789544991,4.606366789544992,4.606366789544991,4.606366789544991,1,8,16,0.003146906999972998,0.0008670759998494759
8,2.927455780842246,2.9274557808422443,2.9274557812349897,2.927455780842246,1,8,16,0.0031325760000981973,0.0008725940001568233
9,2.909053892924833,2.909053892924831,2.9090538933157366,2.909053892924833,1,8,16,0.003155239999614423,0.0008593749998908606
10,4.4341598104188655,4.4341598104188655,4.4341598109622815,4.4341598104188655,2,8,16,0.003116642999884789,0.0008568210000703402
11,2.2499315814352316,2.2499315814352308,2.249931581760224,2.2499315814352316,1,8,16,0.0031260959999599436,0.0008620990001872997
12,3.803899550259903,3.803899550259903,3.803899550259903,3.803899550259903,1,8,16,0.003140848999919399,0.0008654429998387059
13,3.215432384547773,3.215432384547773,3.2154323849693167,3.215432384547773,2,8,16,0.003295107000212738,0.0008635610001874738
14,2.174662799228339,2.1746627992283396,2.174662799545806,2.174662799228339,1,8,16,0.003137743000024784,0.0008620580001661438
15,2.321330604546889,2.321330604546889,2.321330604879022,2.321330604546889,1,8,16,0.003159566999784147,0.0008684379999976954
16,3.431875688174193,3.431875688174194,3.431875688174193,3.431875688174193,1,8,16,0.00313454900015131,0.0009110209998652863
17,3.7956433560519924,3.795643356051993,3.7956433560519924,3.7956433560519924,1,8,16,0.003251481999996031,0.0008666650001032394
18,2.686925231262195,2.686925231262194,2.6869252316308865,2.686925231262195,1,8,16,0.0032674159997441166,0.0008996349997687503
19,3.0133208409716135,3.0133208409716135,3.0133208413729458,3.0133208409716135,2,8,16,0.0031231820003085886,0.0008945670001594408
