actions_per_player,duplicate_factor,full_profile_variables,orbit_profile_variables,full_time_seconds,orbit_time_seconds,speedup,welfare_difference
3,1,9,9,0.0024152160000312506,0.0024446820000321168,0.9879468986148386,0.0
6,2,36,9,0.004772105000029114,0.005340275000037309,0.893606602655439,5.551115123125783e-17
9,3,81,9,0.010857891999989988,0.01222109600001886,0.8884548488918859,1.6653345369377348e-16
12,4,144,9,0.022603650000007747,0.025064982999992935,0.9018019282125234,0.0
18,6,324,9,0.07096753099995112,0.07692098100000067,0.9226030411644193,1.1102230246251565e-16
24,8,576,9,0.16612308899999562,0.176997732000018,0.9385605517249154,5.551115123125783e-17
36,12,1296,9,0.5580805050000208,0.5779176640000401,0.9656747660856791,5.551115123125783e-17
